"REPORTE DE CIERRE DE CAJA - RESUMEN DE VENTAS"
"Fecha Emision","10/3/2026, 10:56:16"
"Periodo de Caja","6/3/2026, 02:44:45 hasta 8/3/2026, 02:14:26"

"MÃTRICAS DE DESEMPEÃO"
"Total de Pedidos","5"
"Ticket Promedio","15380"
"Total Productos Vendidos","9"

"TOTAL VENDIDO POR MÃTODO DE PAGO"
"Metodo","Total"
"Efectivo","40200"
"Transferencia","36700"
"Tarjeta / Otros","0"
"TOTAL VENTAS BRUTAS","76900"

"ARQUEO DE CAJA (CONTROL DE EFECTIVO)"
"Monto Inicial","0"
"Ventas en Efectivo (+)","40200"
"Total Esperado en Caja","40200"
"Total Real Declarado","20000"
"Diferencia","-20200"

"RANKING DE PRODUCTOS VENDIDOS (PARA STOCK)"
"Producto","Cantidad Vendida","Recaudacion Estimada"
"[MENÃ] Costilla de Cerdo con Ensalada Rusa","5","32500"
"Promo: 1 Pizza Muzza + Especial","1","15400"
"12 Empanadas de Carne","1","11800"
"Agua Saborizada Brio Manzana","1","2000"
"Lomo Los Primos","1","15200"

"DETALLE DE PEDIDOS"
"ID","Cliente","Monto","Metodo","Estado","Factura Nro","CAE"
"c9889f6a","Mostrador","15400","Efectivo","Entregado","---","---"
"6adfc06e","Mostrador","13000","Efectivo","Entregado","---","---"
"4b4d6ae0","Mostrador","11800","Efectivo","Entregado","---","---"
"3f1fac35","Mostrador","19500","Transferencia","Entregado","---","---"
"3367e397","Mostrador","17200","Transferencia","Entregado","---","---"
